Logger started
[2026-04-13 21:07:45] sensor=38.3
[2026-04-13 21:07:46] sensor=28.6
[2026-04-13 21:07:47] sensor=37.7
[2026-04-13 21:07:48] sensor=31.5
[2026-04-13 21:07:49] sensor=39.3
[2026-04-13 21:07:50] sensor=33.5
[2026-04-13 21:07:51] sensor=38.6
[2026-04-13 21:07:52] sensor=29.2
[2026-04-13 21:07:53] sensor=24.9
[2026-04-13 21:07:54] sensor=22.1
[2026-04-13 21:07:55] sensor=36.2
[2026-04-13 21:07:56] sensor=22.7
[2026-04-13 21:07:57] sensor=29.0
[2026-04-13 21:07:58] sensor=25.9
[2026-04-13 21:07:59] sensor=36.3
[2026-04-13 21:08:00] sensor=32.6
[2026-04-13 21:08:01] sensor=34.0
[2026-04-13 21:08:02] sensor=22.6
[2026-04-13 21:08:03] sensor=37.2
[2026-04-13 21:08:04] sensor=33.6
[2026-04-13 21:08:05] sensor=21.1
[2026-04-13 21:08:06] sensor=36.8
[2026-04-13 21:08:07] sensor=36.7
[2026-04-13 21:08:08] sensor=22.9
[2026-04-13 21:08:09] sensor=38.2
[2026-04-13 21:08:10] sensor=33.0
[2026-04-13 21:08:11] sensor=26.2
[2026-04-13 21:08:12] sensor=32.3
[2026-04-13 21:08:13] sensor=26.7
[2026-04-13 21:08:14] sensor=33.5
[2026-04-13 21:08:15] sensor=32.9
[2026-04-13 21:08:16] sensor=20.2
[2026-04-13 21:08:17] sensor=22.2
[2026-04-13 21:08:18] sensor=25.8
[2026-04-13 21:08:19] sensor=26.9
[2026-04-13 21:08:20] sensor=36.7
[2026-04-13 21:08:21] sensor=39.3
[2026-04-13 21:08:22] sensor=25.6
[2026-04-13 21:08:23] sensor=21.1
[2026-04-13 21:08:24] sensor=24.2
[2026-04-13 21:08:25] sensor=22.9
[2026-04-13 21:08:26] sensor=37.3
[2026-04-13 21:08:27] sensor=22.1
[2026-04-13 21:08:28] sensor=31.9
[2026-04-13 21:08:29] sensor=38.4
[2026-04-13 21:08:30] sensor=33.7
[2026-04-13 21:08:31] sensor=39.8
[2026-04-13 21:08:32] sensor=32.4
[2026-04-13 21:08:33] sensor=31.5
[2026-04-13 21:08:34] sensor=37.0
[2026-04-13 21:08:35] sensor=21.3
[2026-04-13 21:08:36] sensor=32.6
[2026-04-13 21:08:37] sensor=29.1
[2026-04-13 21:08:38] sensor=38.0
[2026-04-13 21:08:39] sensor=35.6
[2026-04-13 21:08:40] sensor=27.3
[2026-04-13 21:08:41] sensor=26.2
[2026-04-13 21:08:42] sensor=37.0
[2026-04-13 21:08:43] sensor=39.6
[2026-04-13 21:08:44] sensor=28.1
[2026-04-13 21:08:45] sensor=30.5
[2026-04-13 21:08:46] sensor=32.5
[2026-04-13 21:08:47] sensor=28.4
[2026-04-13 21:08:49] sensor=32.7
[2026-04-13 21:08:50] sensor=33.6
[2026-04-13 21:08:51] sensor=30.5
[2026-04-13 21:08:52] sensor=24.6
[2026-04-13 21:08:53] sensor=32.9
[2026-04-13 21:08:54] sensor=31.3
[2026-04-13 21:08:55] sensor=25.7
[2026-04-13 21:08:56] sensor=32.4
[2026-04-13 21:08:57] sensor=29.5
[2026-04-13 21:08:58] sensor=38.2
[2026-04-13 21:08:59] sensor=34.5
[2026-04-13 21:09:00] sensor=21.4
[2026-04-13 21:09:01] sensor=36.7
[2026-04-13 21:09:02] sensor=23.4
[2026-04-13 21:09:03] sensor=36.4
[2026-04-13 21:09:04] sensor=24.3
[2026-04-13 21:09:05] sensor=35.0
[2026-04-13 21:09:06] sensor=28.7
[2026-04-13 21:09:07] sensor=20.8
[2026-04-13 21:09:08] sensor=27.6
[2026-04-13 21:09:09] sensor=37.8
[2026-04-13 21:09:10] sensor=38.8
[2026-04-13 21:09:11] sensor=38.4
[2026-04-13 21:09:12] sensor=20.3
[2026-04-13 21:09:13] sensor=25.1
[2026-04-13 21:09:14] sensor=35.4
[2026-04-13 21:09:15] sensor=39.9
[2026-04-13 21:09:16] sensor=33.2
[2026-04-13 21:09:17] sensor=26.0
[2026-04-13 21:09:18] sensor=27.6
[2026-04-13 21:09:19] sensor=36.8
[2026-04-13 21:09:20] sensor=33.9
[2026-04-13 21:09:21] sensor=21.2
[2026-04-13 21:09:22] sensor=22.6
[2026-04-13 21:09:23] sensor=38.6
[2026-04-13 21:09:24] sensor=29.4
[2026-04-13 21:09:25] sensor=33.9
[2026-04-13 21:09:26] sensor=39.5
[2026-04-13 21:09:27] sensor=37.0
[2026-04-13 21:09:28] sensor=23.4
[2026-04-13 21:09:29] sensor=37.8
[2026-04-13 21:09:30] sensor=26.7
[2026-04-13 21:09:31] sensor=20.1
[2026-04-13 21:09:32] sensor=29.7
[2026-04-13 21:09:33] sensor=30.2
[2026-04-13 21:09:34] sensor=31.7
[2026-04-13 21:09:35] sensor=29.2
[2026-04-13 21:09:36] sensor=25.2
[2026-04-13 21:09:37] sensor=35.6
[2026-04-13 21:09:38] sensor=30.1
[2026-04-13 21:09:39] sensor=28.0
[2026-04-13 21:09:40] sensor=28.6
[2026-04-13 21:09:41] sensor=24.1
[2026-04-13 21:09:42] sensor=26.5
[2026-04-13 21:09:43] sensor=28.9
[2026-04-13 21:09:44] sensor=24.4
[2026-04-13 21:09:45] sensor=21.9
[2026-04-13 21:09:46] sensor=24.0
[2026-04-13 21:09:47] sensor=32.9
[2026-04-13 21:09:48] sensor=23.1
[2026-04-13 21:09:49] sensor=31.7
[2026-04-13 21:09:50] sensor=29.7
[2026-04-13 21:09:51] sensor=37.1
[2026-04-13 21:09:52] sensor=28.1
[2026-04-13 21:09:53] sensor=27.5
[2026-04-13 21:09:54] sensor=30.9
[2026-04-13 21:09:55] sensor=32.7
[2026-04-13 21:09:56] sensor=36.7
[2026-04-13 21:09:57] sensor=25.6
[2026-04-13 21:09:58] sensor=29.7
[2026-04-13 21:09:59] sensor=35.3
[2026-04-13 21:10:00] sensor=38.6
[2026-04-13 21:10:01] sensor=36.5
[2026-04-13 21:10:02] sensor=30.6
[2026-04-13 21:10:03] sensor=28.3
[2026-04-13 21:10:04] sensor=21.9
[2026-04-13 21:10:05] sensor=22.4
[2026-04-13 21:10:06] sensor=32.8
[2026-04-13 21:10:07] sensor=27.1
[2026-04-13 21:10:08] sensor=33.2
[2026-04-13 21:10:09] sensor=22.9
[2026-04-13 21:10:10] sensor=30.3
[2026-04-13 21:10:11] sensor=21.9
[2026-04-13 21:10:12] sensor=27.0
[2026-04-13 21:10:13] sensor=36.8
[2026-04-13 21:10:14] sensor=30.8
[2026-04-13 21:10:15] sensor=31.5
[2026-04-13 21:10:16] sensor=34.0
[2026-04-13 21:10:17] sensor=34.9
[2026-04-13 21:10:18] sensor=39.6
[2026-04-13 21:10:19] sensor=32.3
[2026-04-13 21:10:20] sensor=21.8
[2026-04-13 21:10:21] sensor=24.5
[2026-04-13 21:10:22] sensor=24.6
[2026-04-13 21:10:23] sensor=25.1
[2026-04-13 21:10:24] sensor=32.1
[2026-04-13 21:10:25] sensor=35.5
[2026-04-13 21:10:26] sensor=37.9
[2026-04-13 21:10:27] sensor=28.8
[2026-04-13 21:10:28] sensor=36.4
[2026-04-13 21:10:29] sensor=22.8
[2026-04-13 21:10:30] sensor=24.1
[2026-04-13 21:10:31] sensor=35.0
[2026-04-13 21:10:32] sensor=39.3
